id,image_id,category_id,area,bbox
1,1,8,827793.0,"[184.0, 13.0, 989.0, 837.0]"
2,2,8,106066.0,"[255.0, 320.0, 362.0, 293.0]"
3,3,8,1121608.0,"[339.0, 6.0, 1256.0, 893.0]"
4,4,8,470148.0,"[337.0, 116.0, 609.0, 772.0]"
5,5,8,11286.0,"[937.0, 354.0, 114.0, 99.0]"
6,5,8,10000.0,"[1099.0, 349.0, 100.0, 100.0]"
7,5,8,10000.0,"[1018.0, 146.0, 100.0, 100.0]"
8,5,8,10000.0,"[1283.0, 334.0, 100.0, 100.0]"
9,5,8,10000.0,"[990.0, 584.0, 100.0, 100.0]"
10,5,8,10000.0,"[1124.0, 708.0, 100.0, 100.0]"
11,6,8,182293.0,"[907.0, 278.0, 421.0, 433.0]"
12,7,8,100320.0,"[1102.0, 508.0, 330.0, 304.0]"
13,7,8,32916.0,"[477.0, 688.0, 156.0, 211.0]"
14,7,8,93854.0,"[1187.0, 164.0, 281.0, 334.0]"
15,8,8,648150.0,"[51.0, 74.0, 894.0, 725.0]"
16,9,8,220990.0,"[319.0, 185.0, 490.0, 451.0]"
17,10,8,163207.0,"[336.0, 265.0, 401.0, 407.0]"
18,11,8,627888.0,"[156.0, 120.0, 824.0, 762.0]"
19,11,8,226324.0,"[1051.0, 424.0, 548.0, 413.0]"
20,12,8,400.0,"[255.0, 182.0, 25.0, 16.0]"
21,12,191,7918.0,"[196.0, 224.0, 74.0, 107.0]"
22,12,191,1530.0,"[238.0, 339.0, 34.0, 45.0]"
23,12,100,625.0,"[211.0, 333.0, 25.0, 25.0]"
26,13,8,638.0,"[240.0, 89.0, 29.0, 22.0]"
30,14,8,1681.0,"[199.0, 295.0, 41.0, 41.0]"
32,15,63,11664.0,"[242.0, 335.0, 144.0, 81.0]"
35,15,8,1008.0,"[574.0, 298.0, 36.0, 28.0]"
37,16,8,690.0,"[384.0, 290.0, 30.0, 23.0]"
38,16,62,5166.0,"[374.0, 377.0, 82.0, 63.0]"
39,17,232,3348.0,"[2.0, 175.0, 62.0, 54.0]"
40,17,101,1023.0,"[134.0, 246.0, 31.0, 33.0]"
41,17,101,812.0,"[366.0, 251.0, 29.0, 28.0]"
43,17,8,182.0,"[228.0, 222.0, 13.0, 14.0]"
45,18,8,550.0,"[141.0, 393.0, 25.0, 22.0]"
46,18,8,504.0,"[173.0, 88.0, 28.0, 18.0]"
47,19,74,4554.0,"[146.0, 76.0, 69.0, 66.0]"
48,19,8,2756.0,"[92.0, 33.0, 53.0, 52.0]"
50,20,8,759.0,"[240.0, 176.0, 33.0, 23.0]"
51,20,187,725.0,"[192.0, 262.0, 25.0, 29.0]"
55,20,74,5250.0,"[300.0, 255.0, 75.0, 70.0]"
56,21,8,840.0,"[352.0, 191.0, 28.0, 30.0]"
57,21,62,53599.0,"[329.0, 266.0, 247.0, 217.0]"
58,22,8,224.0,"[275.0, 243.0, 16.0, 14.0]"
59,22,11,8217.0,"[78.0, 97.0, 99.0, 83.0]"
60,23,8,3441.0,"[589.0, 259.0, 93.0, 37.0]"
62,24,187,2484.0,"[145.0, 275.0, 54.0, 46.0]"
66,24,187,594.0,"[189.0, 336.0, 22.0, 27.0]"
69,24,8,456.0,"[187.0, 313.0, 24.0, 19.0]"
70,24,187,625.0,"[226.0, 259.0, 25.0, 25.0]"
71,24,141,3888.0,"[119.0, 241.0, 72.0, 54.0]"
73,25,8,342.0,"[436.0, 100.0, 18.0, 19.0]"
78,26,8,342.0,"[536.0, 31.0, 19.0, 18.0]"
84,26,265,1118.0,"[332.0, 22.0, 43.0, 26.0]"
